,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,County
0,2007,17,22,34,17,34,42,28,51,35,30,35,17,Adams
1,2008,18,17,18,11,25,21,15,22,22,36,18,21,Adams
2,2009,9,15,16,24,35,39,32,37,35,47,24,31,Adams
3,2010,16,24,27,30,39,31,29,36,34,16,37,21,Adams
4,2011,20,15,20,25,20,37,28,48,38,40,19,21,Adams
5,2012,25,17,22,29,41,58,40,56,41,47,41,21,Adams
6,2013,29,25,25,25,40,41,41,66,40,49,33,25,Adams
7,2014,10,28,30,33,45,60,41,48,48,68,38,34,Adams
8,2015,20,23,28,43,42,57,65,59,61,58,20,44,Adams
9,2016,21,29,33,50,57,70,43,64,74,52,43,42,Adams
10,2017,26,18,21,39,42,69,54,61,82,61,50,30,Adams
11,2018,29,25,33,48,52,69,42,82,34,48,45,20,Adams
12,2019,21,20,29,52,67,51,75,70,58,68,51,47,Adams
13,2020,19,26,36,41,54,72,84,96,69,74,48,35,Adams
14,2021,26,41,42,49,59,62,74,68,71,67,49,55,Adams
15,2022,26,33,40,46,48,63,68,57,77,41,42,36,Adams
16,2023,17,25,33,33,47,63,43,71,66,44,53,36,Adams
17,2024,19,24,42,43,69,52,68,57,42,,,,Adams
0,2007,14,17,23,16,30,21,25,30,28,22,26,16,Juneau
1,2008,11,8,19,16,27,23,17,24,18,13,20,18,Juneau
2,2009,4,13,20,17,12,28,23,24,26,29,13,27,Juneau
3,2010,10,16,17,27,37,26,31,19,23,27,23,15,Juneau
4,2011,13,12,18,17,15,25,18,10,19,17,20,22,Juneau
5,2012,11,10,30,23,23,24,25,18,33,27,32,24,Juneau
6,2013,24,27,22,23,42,27,24,40,25,26,28,19,Juneau
7,2014,12,23,22,21,32,34,34,28,35,35,27,27,Juneau
8,2015,18,21,21,42,34,38,34,30,31,31,26,20,Juneau
9,2016,19,19,16,35,31,44,37,45,46,26,28,27,Juneau
10,2017,15,16,28,27,35,40,36,35,49,34,28,21,Juneau
11,2018,19,29,26,33,46,35,44,38,32,34,33,26,Juneau
12,2019,19,21,23,39,36,29,47,46,42,45,27,36,Juneau
13,2020,23,18,35,25,29,58,46,42,44,52,42,46,Juneau
14,2021,31,22,26,28,43,46,32,42,52,30,40,40,Juneau
15,2022,25,28,39,23,33,41,25,51,36,36,24,20,Juneau
16,2023,14,24,19,18,26,38,33,39,30,32,26,32,Juneau
17,2024,21,20,22,32,43,34,34,33,29,,,,Juneau
0,2007,71,98,95,121,150,168,132,168,113,112,98,74,Marathon
1,2008,60,59,74,102,118,151,126,123,103,109,49,67,Marathon
2,2009,46,57,87,82,113,106,101,120,104,109,112,63,Marathon
3,2010,44,54,108,117,126,132,76,94,83,87,71,78,Marathon
4,2011,68,56,70,93,94,112,103,97,109,96,94,69,Marathon
5,2012,68,60,96,122,128,138,126,114,81,106,125,88,Marathon
6,2013,69,79,110,115,142,160,153,166,135,101,90,106,Marathon
7,2014,67,74,116,90,157,158,148,149,107,153,96,94,Marathon
8,2015,69,71,112,156,175,187,171,163,149,169,105,113,Marathon
9,2016,97,82,127,150,151,235,172,143,168,125,111,126,Marathon
10,2017,80,74,129,168,144,247,175,178,177,157,125,129,Marathon
11,2018,96,103,140,141,159,204,203,194,165,185,162,107,Marathon
12,2019,81,93,112,144,180,174,196,202,168,179,125,142,Marathon
13,2020,89,84,98,129,154,182,228,218,186,212,163,146,Marathon
14,2021,110,102,124,152,151,214,185,183,171,193,174,138,Marathon
15,2022,82,86,91,125,123,193,164,182,148,144,133,95,Marathon
16,2023,57,60,80,68,118,148,130,157,163,132,110,87,Marathon
17,2024,79,60,92,111,127,142,137,151,124,,,,Marathon
0,2007,10,10,10,20,28,30,32,26,17,22,20,9,Marquette
1,2008,7,14,12,16,14,13,11,9,18,12,8,4,Marquette
2,2009,1,5,10,7,6,15,12,16,11,17,15,15,Marquette
3,2010,6,5,12,17,14,20,13,9,9,14,19,14,Marquette
4,2011,12,12,10,13,11,13,11,21,19,12,6,18,Marquette
5,2012,13,5,15,12,20,19,17,14,9,29,16,23,Marquette
6,2013,8,10,12,13,14,21,20,23,19,19,11,15,Marquette
7,2014,14,12,18,17,19,25,21,21,27,21,8,15,Marquette
8,2015,17,16,15,19,17,27,19,21,15,37,18,16,Marquette
9,2016,12,15,18,24,27,22,33,40,20,26,15,22,Marquette
10,2017,16,6,16,25,26,38,28,29,26,26,26,17,Marquette
11,2018,14,24,13,30,27,28,33,27,30,32,22,13,Marquette
12,2019,11,6,14,16,26,27,32,37,30,26,19,16,Marquette
13,2020,13,10,11,20,16,24,39,31,37,31,23,19,Marquette
14,2021,11,21,10,22,24,28,28,36,31,25,30,27,Marquette
15,2022,15,14,21,24,18,29,30,19,24,20,18,14,Marquette
16,2023,11,13,14,21,21,26,25,32,21,19,12,16,Marquette
17,2024,15,10,31,19,24,31,11,28,26,,,,Marquette
0,2007,36,41,53,63,65,86,92,75,49,50,37,33,Portage
1,2008,25,34,33,39,47,77,60,61,46,41,23,28,Portage
2,2009,22,20,27,48,52,50,57,50,65,62,52,19,Portage
3,2010,19,14,46,55,55,71,36,46,39,33,24,25,Portage
4,2011,16,27,29,37,49,46,47,57,33,43,31,31,Portage
5,2012,20,23,43,45,65,60,55,67,51,52,44,35,Portage
6,2013,32,27,39,48,82,67,66,63,59,53,44,39,Portage
7,2014,22,30,43,52,60,80,88,72,58,47,40,32,Portage
8,2015,46,33,43,63,82,84,89,92,66,73,33,55,Portage
9,2016,30,23,44,67,89,94,109,80,79,51,40,51,Portage
10,2017,39,22,65,57,80,102,66,93,66,63,57,48,Portage
11,2018,47,36,54,51,55,88,90,106,60,73,60,51,Portage
12,2019,41,33,48,49,68,77,104,110,73,74,53,51,Portage
13,2020,40,37,55,53,60,80,95,113,75,75,52,64,Portage
14,2021,43,34,57,58,57,104,77,89,82,89,62,91,Portage
15,2022,34,33,46,47,78,84,68,83,79,72,39,32,Portage
16,2023,24,33,35,34,54,93,59,83,69,65,51,42,Portage
17,2024,38,33,43,64,61,56,58,65,48,,,,Portage
0,2007,2,1,4,5,11,24,16,19,20,21,15,7,Waushara
1,2008,7,7,2,3,4,1,,5,2,3,4,3,Waushara
2,2009,,3,,2,1,1,6,5,5,5,1,3,Waushara
3,2010,1,,2,3,13,17,17,12,22,23,13,18,Waushara
4,2011,6,8,13,12,17,21,18,23,23,20,18,14,Waushara
5,2012,10,18,18,20,21,23,27,31,42,30,21,23,Waushara
6,2013,17,16,23,11,28,28,26,39,26,25,22,22,Waushara
7,2014,15,13,20,24,21,26,39,36,26,28,22,21,Waushara
8,2015,17,14,14,24,32,38,37,45,36,31,34,25,Waushara
9,2016,15,15,24,23,24,31,37,43,49,36,29,24,Waushara
10,2017,21,13,20,34,39,51,44,45,32,34,29,26,Waushara
