,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,County
0,2007,"$140,000 ","$114,950 ","$115,250 ","$142,000 ","$130,000 ","$157,250 ","$120,250 ","$80,900 ","$81,000 ","$115,500 ","$105,000 ","$131,500 ",Adams
1,2008,"$89,450 ","$95,000 ","$80,000 ","$72,000 ","$108,000 ","$95,000 ","$75,900 ","$93,750 ","$120,250 ","$131,450 ","$99,500 ","$96,000 ",Adams
2,2009,"$139,900 ","$48,500 ","$56,850 ","$84,950 ","$105,000 ","$140,000 ","$127,400 ","$127,000 ","$99,900 ","$134,900 ","$91,250 ","$119,000 ",Adams
3,2010,"$88,500 ","$83,500 ","$85,000 ","$62,250 ","$95,000 ","$116,000 ","$118,000 ","$112,000 ","$133,500 ","$87,000 ","$89,000 ","$91,000 ",Adams
4,2011,"$76,500 ","$60,000 ","$59,000 ","$66,000 ","$112,550 ","$79,000 ","$109,450 ","$84,000 ","$87,500 ","$97,750 ","$106,000 ","$78,900 ",Adams
5,2012,"$87,000 ","$52,900 ","$89,975 ","$71,900 ","$115,000 ","$112,500 ","$105,450 ","$127,500 ","$119,000 ","$82,000 ","$94,500 ","$79,900 ",Adams
6,2013,"$125,000 ","$71,000 ","$115,000 ","$83,000 ","$90,000 ","$120,299 ","$112,500 ","$88,500 ","$81,500 ","$118,500 ","$108,000 ","$120,000 ",Adams
7,2014,"$42,500 ","$70,125 ","$106,500 ","$75,900 ","$114,500 ","$119,900 ","$86,000 ","$77,750 ","$66,500 ","$123,750 ","$67,500 ","$91,000 ",Adams
8,2015,"$92,100 ","$138,000 ","$120,950 ","$114,000 ","$102,800 ","$125,000 ","$110,000 ","$103,000 ","$120,500 ","$101,000 ","$81,500 ","$92,000 ",Adams
9,2016,"$120,000 ","$120,000 ","$129,000 ","$117,950 ","$117,500 ","$104,000 ","$114,900 ","$129,950 ","$118,750 ","$117,250 ","$127,000 ","$133,500 ",Adams
10,2017,"$160,000 ","$77,600 ","$94,500 ","$115,000 ","$116,000 ","$125,000 ","$142,750 ","$128,500 ","$137,450 ","$114,700 ","$125,250 ","$128,100 ",Adams
11,2018,"$93,400 ","$92,000 ","$111,000 ","$125,000 ","$126,250 ","$150,000 ","$140,000 ","$140,950 ","$125,200 ","$104,650 ","$150,000 ","$100,950 ",Adams
12,2019,"$120,000 ","$137,500 ","$140,000 ","$138,000 ","$155,000 ","$146,000 ","$139,000 ","$145,450 ","$129,200 ","$166,000 ","$135,000 ","$140,000 ",Adams
13,2020,"$173,500 ","$182,750 ","$147,500 ","$135,000 ","$122,625 ","$162,000 ","$147,750 ","$185,000 ","$142,000 ","$189,825 ","$160,750 ","$220,000 ",Adams
14,2021,"$135,250 ","$165,000 ","$202,000 ","$170,000 ","$165,700 ","$192,500 ","$172,000 ","$180,000 ","$222,460 ","$195,000 ","$184,000 ","$210,000 ",Adams
15,2022,"$219,500 ","$192,000 ","$206,250 ","$180,000 ","$235,001 ","$181,500 ","$206,500 ","$174,900 ","$226,000 ","$191,065 ","$168,950 ","$212,450 ",Adams
16,2023,"$270,000 ","$238,400 ","$262,500 ","$172,500 ","$290,000 ","$224,900 ","$210,000 ","$250,000 ","$219,950 ","$234,750 ","$180,000 ","$194,950 ",Adams
17,2024,"$227,000 ","$246,500 ","$230,000 ","$185,000 ","$248,000 ","$254,750 ","$179,000 ","$260,000 ","$247,500 ",,,,Adams
0,2007,"$107,000 ","$73,000 ","$120,000 ","$139,500 ","$92,630 ","$98,900 ","$94,000 ","$122,000 ","$121,285 ","$91,500 ","$98,950 ","$86,000 ",Juneau
1,2008,"$122,500 ","$85,500 ","$125,000 ","$129,000 ","$55,000 ","$95,000 ","$82,000 ","$95,950 ","$79,750 ","$97,000 ","$80,500 ","$57,475 ",Juneau
2,2009,"$89,500 ","$66,900 ","$88,440 ","$94,000 ","$73,500 ","$95,750 ","$79,700 ","$66,000 ","$69,000 ","$85,000 ","$85,000 ","$85,900 ",Juneau
3,2010,"$56,490 ","$75,500 ","$85,000 ","$89,786 ","$141,000 ","$78,000 ","$74,000 ","$72,500 ","$89,950 ","$110,000 ","$78,000 ","$110,022 ",Juneau
4,2011,"$50,000 ","$58,250 ","$75,750 ","$87,000 ","$81,600 ","$88,000 ","$52,950 ","$110,250 ","$90,000 ","$69,000 ","$67,750 ","$80,750 ",Juneau
5,2012,"$105,000 ","$53,000 ","$60,750 ","$105,000 ","$45,000 ","$73,250 ","$74,500 ","$79,750 ","$104,900 ","$104,000 ","$75,000 ","$86,750 ",Juneau
6,2013,"$111,250 ","$71,111 ","$93,700 ","$85,920 ","$81,500 ","$80,000 ","$91,000 ","$89,250 ","$116,500 ","$96,000 ","$76,750 ","$80,000 ",Juneau
7,2014,"$63,950 ","$44,000 ","$65,000 ","$126,500 ","$110,950 ","$91,250 ","$84,850 ","$99,800 ","$129,000 ","$72,200 ","$130,000 ","$74,500 ",Juneau
8,2015,"$84,750 ","$63,000 ","$59,900 ","$122,250 ","$78,625 ","$78,400 ","$95,450 ","$88,800 ","$88,000 ","$97,500 ","$92,950 ","$99,500 ",Juneau
9,2016,"$95,000 ","$100,000 ","$114,750 ","$89,900 ","$119,900 ","$109,950 ","$99,500 ","$120,000 ","$120,500 ","$100,750 ","$92,400 ","$89,900 ",Juneau
10,2017,"$103,500 ","$101,500 ","$117,000 ","$85,900 ","$124,000 ","$115,450 ","$137,750 ","$128,000 ","$122,500 ","$99,450 ","$96,950 ","$94,000 ",Juneau
11,2018,"$93,000 ","$94,900 ","$107,450 ","$125,000 ","$134,000 ","$142,000 ","$118,800 ","$142,500 ","$157,000 ","$117,500 ","$120,000 ","$109,500 ",Juneau
12,2019,"$89,000 ","$112,500 ","$144,000 ","$143,500 ","$138,425 ","$121,000 ","$130,000 ","$140,000 ","$144,500 ","$130,000 ","$170,000 ","$135,450 ",Juneau
13,2020,"$98,500 ","$122,000 ","$147,900 ","$163,500 ","$162,500 ","$162,000 ","$149,950 ","$174,950 ","$146,000 ","$175,500 ","$162,450 ","$152,200 ",Juneau
14,2021,"$205,000 ","$173,494 ","$162,400 ","$204,500 ","$159,000 ","$184,950 ","$173,400 ","$146,500 ","$167,450 ","$179,750 ","$140,800 ","$170,000 ",Juneau
15,2022,"$153,000 ","$171,000 ","$175,000 ","$167,000 ","$162,500 ","$160,000 ","$161,000 ","$215,000 ","$155,500 ","$178,443 ","$187,500 ","$221,500 ",Juneau
16,2023,"$199,500 ","$219,500 ","$285,000 ","$197,450 ","$166,000 ","$179,750 ","$248,500 ","$280,000 ","$203,000 ","$233,250 ","$255,000 ","$263,450 ",Juneau
17,2024,"$260,000 ","$265,000 ","$204,950 ","$235,000 ","$194,900 ","$250,000 ","$220,500 ","$245,000 ","$250,000 ",,,,Juneau
0,2007,"$126,900 ","$144,250 ","$130,000 ","$119,900 ","$139,950 ","$141,500 ","$145,000 ","$134,700 ","$133,000 ","$135,001 ","$138,900 ","$133,950 ",Marathon
1,2008,"$135,000 ","$137,000 ","$133,153 ","$121,500 ","$128,450 ","$126,500 ","$134,500 ","$154,427 ","$136,000 ","$153,900 ","$110,000 ","$122,000 ",Marathon
2,2009,"$121,750 ","$125,000 ","$127,000 ","$125,000 ","$125,000 ","$133,500 ","$119,500 ","$134,450 ","$130,750 ","$132,900 ","$127,000 ","$109,000 ",Marathon
3,2010,"$129,500 ","$124,500 ","$124,250 ","$110,770 ","$119,400 ","$129,000 ","$138,500 ","$132,450 ","$123,000 ","$122,000 ","$99,900 ","$120,000 ",Marathon
4,2011,"$113,450 ","$98,950 ","$96,500 ","$121,000 ","$124,500 ","$117,750 ","$97,000 ","$125,000 ","$110,000 ","$129,500 ","$115,450 ","$102,000 ",Marathon
5,2012,"$98,250 ","$88,750 ","$109,100 ","$109,750 ","$120,000 ","$123,500 ","$112,650 ","$120,362 ","$106,685 ","$138,250 ","$110,000 ","$118,700 ",Marathon
6,2013,"$124,900 ","$118,000 ","$117,000 ","$120,000 ","$119,500 ","$126,500 ","$125,000 ","$121,000 ","$128,500 ","$110,000 ","$115,000 ","$119,400 ",Marathon
7,2014,"$110,000 ","$117,250 ","$116,500 ","$115,000 ","$125,000 ","$135,850 ","$129,900 ","$137,500 ","$120,000 ","$125,000 ","$126,450 ","$122,750 ",Marathon
8,2015,"$101,000 ","$115,000 ","$122,500 ","$116,250 ","$135,000 ","$139,900 ","$139,500 ","$154,000 ","$120,000 ","$140,000 ","$128,900 ","$130,000 ",Marathon
9,2016,"$114,900 ","$132,000 ","$134,900 ","$124,325 ","$128,900 ","$147,500 ","$135,750 ","$144,450 ","$132,900 ","$145,000 ","$152,000 ","$148,400 ",Marathon
10,2017,"$117,363 ","$95,250 ","$138,000 ","$142,500 ","$133,100 ","$164,000 ","$135,000 ","$162,000 ","$142,000 ","$155,000 ","$159,000 ","$139,900 ",Marathon
11,2018,"$139,000 ","$149,900 ","$153,000 ","$160,500 ","$167,000 ","$166,500 ","$175,000 ","$155,950 ","$163,000 ","$154,900 ","$145,450 ","$123,500 ",Marathon
12,2019,"$164,900 ","$152,000 ","$169,250 ","$153,750 ","$166,250 ","$174,950 ","$180,500 ","$179,900 ","$154,500 ","$165,000 ","$165,900 ","$174,950 ",Marathon
13,2020,"$159,500 ","$159,500 ","$154,000 ","$170,000 ","$182,250 ","$190,000 ","$192,750 ","$195,950 ","$189,950 ","$189,900 ","$179,000 ","$186,200 ",Marathon
14,2021,"$159,825 ","$161,200 ","$189,750 ","$193,450 ","$200,000 ","$210,500 ","$205,000 ","$200,000 ","$195,000 ","$215,000 ","$200,000 ","$189,200 ",Marathon
15,2022,"$179,950 ","$200,950 ","$191,000 ","$226,600 ","$225,000 ","$250,400 ","$237,500 ","$230,000 ","$210,000 ","$215,000 ","$209,900 ","$220,000 ",Marathon
16,2023,"$229,900 ","$260,250 ","$218,750 ","$216,000 ","$235,500 ","$248,550 ","$247,500 ","$255,000 ","$243,000 ","$222,500 ","$232,500 ","$200,000 ",Marathon
17,2024,"$205,000 ","$227,000 ","$242,500 ","$282,000 ","$265,563 ","$267,853 ","$268,000 ","$259,000 ","$236,250 ",,,,Marathon
0,2007,"$146,250 ","$119,250 ","$97,500 ","$128,500 ","$141,000 ","$142,500 ","$143,700 ","$132,450 ","$137,000 ","$115,950 ","$163,750 ","$91,500 ",Marquette
1,2008,"$127,000 ","$129,900 ","$141,500 ","$125,500 ","$114,750 ","$123,000 ","$120,000 ","$164,900 ","$121,750 ","$90,500 ","$125,500 ","$92,330 ",Marquette
2,2009,"$22,500 ","$114,450 ","$101,750 ","$119,000 ","$162,575 ","$121,900 ","$104,000 ","$150,000 ","$139,000 ","$127,000 ","$125,000 ","$90,000 ",Marquette
3,2010,"$109,950 ","$70,000 ","$102,000 ","$76,500 ","$76,200 ","$103,637 ","$145,000 ","$151,000 ","$87,900 ","$90,000 ","$79,900 ","$102,500 ",Marquette
4,2011,"$146,000 ","$79,500 ","$55,669 ","$58,000 ","$108,900 ","$86,500 ","$90,000 ","$138,000 ","$55,000 ","$132,000 ","$144,900 ","$90,000 ",Marquette
